Data_key,Game_number,Engine_Depth,Game_date,Game_type,White_player,Black_player,White_rating,Black_rating,My_colour,My_rating,Winner,User_winner,number_of_moves,White_accuracy,White_opening_accuracy,White_middle_accuracy,White_end_accuracy,No_best_white,No_great_white,No_good_white,No_ok_white,No_inaccuracy_white,No_mistake_white,No_blunder_white,Improvement_white,Black_accuracy,Black_opening_accuracy,Black_middle_accuracy,Black_end_accuracy,No_best_black,No_great_black,No_good_black,No_ok_black,No_inaccuracy_black,No_mistake_black,No_blunder_black,Improvement_black,User_accuracy,User_opening_accuracy,User_middle_accuracy,User_end_accuracy,No_best_user,No_great_user,No_good_user,No_ok_user,No_inaccuracy_user,No_mistake_user,No_blunder_user,Improvement_user
"19, 2020.11.11, 10",19,10,2020.11.11,600,Ainceer,lenin166,1215,1185,White,1215,White,1,20.5,90.86,91.38,99.39,81.81,12,5,1,0,3,0,0,2,82.76,75.51,91.48,81.05,4,6,6,2,0,1,1,0,90.86,91.38,99.39,81.81,12,5,1,0,3,0,0,2
"20, 2020.11.11, 10",20,10,2020.11.11,600,Checkmate1678,Ainceer,1153,1233,Black,1233,Black,1,13,85.67,99.28,88.78,65.57,7,2,1,2,0,0,1,2,73.44,92.89,70.92,51.64,3,4,3,0,0,0,3,2,73.44,92.89,70.92,51.64,3,4,3,0,0,0,1,2
"21, 2020.11.11, 10",21,10,2020.11.11,600,sivertsen8,Ainceer,1217,1212,Black,1212,White,0,39.5,93.28,91.84,90.57,97.55,23,10,1,3,3,0,0,1,80.94,62.52,94.51,85.79,15,10,6,0,3,0,5,0,80.94,62.52,94.51,85.79,15,10,6,0,3,0,0,0
"22, 2020.11.11, 10",22,10,2020.11.11,600,Ainceer,sivertsen8,1194,1225,White,1194,Black,0,30,85.77,97.96,93.89,65.47,14,8,3,1,0,1,3,2,90.43,97.46,91.37,82.45,18,4,4,1,2,0,1,2,85.77,97.96,93.89,65.47,14,8,3,1,0,1,3,2
"23, 2020.11.11, 10",23,10,2020.11.11,600,Da_Monke_Say_What,Ainceer,1199,1212,Black,1212,Black,1,42,75.32,64.43,82.36,79.17,17,9,2,3,2,2,7,0,74.41,62.48,83.44,77.3,20,6,5,1,0,1,9,0,74.41,62.48,83.44,77.3,20,6,5,1,0,1,7,0
"24, 2020.11.11, 10",24,10,2020.11.11,600,Guest8757995112,Ainceer,800,1212,Black,1212,Black,1,31.5,58.25,63.99,46.03,65.38,7,9,1,0,3,1,11,1,67.2,65.18,48.16,88.46,7,10,2,2,0,2,8,1,67.2,65.18,48.16,88.46,7,10,2,2,0,2,11,1
"25, 2020.11.11, 10",25,10,2020.11.11,600,Ainceer,Guest8757995112,1212,800,White,1212,White,1,42.5,58.43,75.8,41.83,56.43,15,6,1,3,2,0,16,1,41.44,37.9,45.43,41.01,11,4,0,1,2,1,23,0,58.43,75.8,41.83,56.43,15,6,1,3,2,0,16,1
"26, 2020.11.12, 10",26,10,2020.11.12,600,pradeep7492,Ainceer,1224,1230,Black,1230,Black,1,14,67.99,83.56,85.46,26.7,5,3,0,2,0,0,4,2,75.39,85.75,96.71,35.8,2,8,0,0,2,0,2,2,75.39,85.75,96.71,35.8,2,8,0,0,2,0,4,2
"27, 2020.11.12, 10",27,10,2020.11.12,600,Ainceer,Pmargiolas,1213,1211,White,1213,Black,0,19,58.18,78.18,35.28,57.75,5,2,1,2,1,2,6,1,59.39,47.11,57.62,75.48,5,4,0,1,2,2,5,0,58.18,78.18,35.28,57.75,5,2,1,2,1,2,6,1
"28, 2020.11.12, 10",28,10,2020.11.12,600,Ainceer,SteBer90,1229,1226,White,1229,White,1,28.5,77.67,97.8,88.34,43.43,7,11,2,3,1,1,4,2,80.93,93.29,90.34,57.77,10,9,1,4,0,0,4,2,77.67,97.8,88.34,43.43,7,11,2,3,1,1,4,2
"29, 2020.11.12, 10",29,10,2020.11.12,600,Ainceer,RoseGold3000,1216,1279,White,1216,Black,0,30,66.11,93.72,51.5,53.11,8,9,1,1,2,1,8,1,62.93,61.55,47.34,79.9,9,3,2,3,4,2,7,1,66.11,93.72,51.5,53.11,8,9,1,1,2,1,8,1
"30, 2020.11.12, 10",30,10,2020.11.12,600,Luckyvitez1979,Ainceer,1202,1201,Black,1201,White,0,44,82.98,82.12,80.04,87.04,15,11,6,3,7,0,2,1,72.24,68.07,58.64,91.28,9,12,5,6,4,2,6,1,72.24,68.07,58.64,91.28,9,12,5,6,4,2,2,1
"31, 2020.11.12, 10",31,10,2020.11.12,600,Ainceer,riteshom,1189,1245,White,1189,Black,0,19,72.89,83.69,89.58,43.59,5,4,2,5,0,0,3,2,87.95,87.25,81.03,95.69,10,4,1,1,1,2,0,1,72.89,83.69,89.58,43.59,5,4,2,5,0,0,3,2
"32, 2020.11.12, 10",32,10,2020.11.12,600,Lemonchips,Ainceer,1214,1177,Black,1177,White,0,20.5,59.91,63.92,48.8,67.01,3,5,1,1,4,3,4,1,53.33,56.35,49.14,54.71,6,2,0,2,1,1,8,1,53.33,56.35,49.14,54.71,6,2,0,2,1,1,4,1
"33, 2020.11.13, 10",33,10,2020.11.13,600,manne1,Ainceer,1175,1190,Black,1190,Black,1,28,66.06,97.27,70.61,26.84,7,8,1,2,1,1,8,2,77.31,85,75.1,70.96,13,5,2,1,1,1,5,2,77.31,85,75.1,70.96,13,5,2,1,1,1,8,2
