Data_key,Game_number,Engine_Depth,Game_date,Game_type,White_player,Black_player,White_rating,Black_rating,My_colour,My_rating,Winner,User_winner,number_of_moves,White_accuracy,White_opening_accuracy,White_middle_accuracy,White_end_accuracy,No_best_white,No_great_white,No_good_white,No_ok_white,No_inaccuracy_white,No_mistake_white,No_blunder_white,Improvement_white,Black_accuracy,Black_opening_accuracy,Black_middle_accuracy,Black_end_accuracy,No_best_black,No_great_black,No_good_black,No_ok_black,No_inaccuracy_black,No_mistake_black,No_blunder_black,Improvement_black,User_accuracy,User_opening_accuracy,User_middle_accuracy,User_end_accuracy,No_best_user,No_great_user,No_good_user,No_ok_user,No_inaccuracy_user,No_mistake_user,No_blunder_user,Improvement_user
"854, 2021.01.11, 10",854,10,2021.01.11,180,Ainceer,nilenvarade,905,909,White,905,White,1,12.5,78.24,78.24,94.4,62.08,5,4,1,0,1,0,2,2,44.05,79.25,10.36,42.54,0,4,0,1,1,1,5,1,78.24,78.24,94.4,62.08,5,4,1,0,1,0,2,2
"855, 2021.01.11, 10",855,10,2021.01.11,180,Ainceer,walancius,898,958,White,898,Black,0,57,70.71,75.54,69.34,67.26,13,23,2,2,4,0,13,2,68.1,66.37,75.57,62.36,14,14,4,8,2,3,12,2,70.71,75.54,69.34,67.26,13,23,2,2,4,0,13,2
"856, 2021.01.11, 10",856,10,2021.01.11,180,walancius,Ainceer,965,891,Black,891,White,0,23,85.99,95.84,88.94,71.36,5,12,2,1,1,0,2,2,63.93,89.45,68.74,29.27,8,5,0,0,2,2,6,2,63.93,89.45,68.74,29.27,8,5,0,0,2,2,2,2
"857, 2021.01.11, 10",857,10,2021.01.11,180,Ainceer,barcael,883,892,White,883,Black,0,9,54.49,97.39,35.15,30.93,1,3,0,1,0,0,4,2,74.97,90.22,68.01,66.67,5,1,0,1,0,0,2,2,54.49,97.39,35.15,30.93,1,3,0,1,0,0,4,2
"858, 2021.01.11, 10",858,10,2021.01.11,180,KissJAV,Ainceer,838,890,Black,890,Black,1,29,74.86,65.55,89.84,68.57,12,7,1,2,0,1,6,0,74.03,97.32,60.54,63.16,10,7,0,3,4,1,4,1,74.03,97.32,60.54,63.16,10,7,0,3,4,1,6,1
"859, 2021.01.11, 10",859,10,2021.01.11,180,Ainceer,crazygoat123,898,872,White,898,White,1,32.5,67.68,79.14,59.67,64.22,12,4,3,3,3,1,7,1,51.74,78.25,27.02,49.77,9,4,1,0,3,2,13,1,67.68,79.14,59.67,64.22,12,4,3,3,3,1,7,1
"860, 2021.01.11, 10",860,10,2021.01.11,180,Ainceer,sahumay,906,882,White,906,White,1,31.5,87.18,97.3,67.86,97.29,12,12,3,2,0,2,1,1,72.33,94.45,44.28,76.07,9,8,2,2,4,1,5,1,87.18,97.3,67.86,97.29,12,12,3,2,0,2,1,1
"861, 2021.01.11, 10",861,10,2021.01.11,180,sile20,Ainceer,899,898,Black,898,White,0,5.5,93.36,99.46,80.6,100,3,2,0,1,0,0,0,1,71.19,99.46,78.5,0,1,2,0,1,0,0,1,2,71.19,99.46,78.5,0,1,2,0,1,0,0,0,2
"862, 2021.01.11, 10",862,10,2021.01.11,180,Aakansha12,Ainceer,884,898,Black,898,Draw,0,51.5,73,69.25,79.69,70.28,16,20,1,2,0,0,13,0,77.78,82.16,74.32,76.86,19,16,2,4,1,0,9,1,77.78,82.16,74.32,76.86,19,16,2,4,1,0,13,1
"863, 2021.01.11, 10",863,10,2021.01.11,180,nadav3609389565,Ainceer,855,905,Black,905,Black,1,4,99.47,99.46,98.93,100,2,2,0,0,0,0,0,1,84.44,99.46,64.69,74.15,1,1,0,2,0,0,0,1,84.44,99.46,64.69,74.15,1,1,0,2,0,0,0,1
"864, 2021.01.11, 10",864,10,2021.01.11,180,Ainceer,uron8,897,928,White,897,Black,0,22,79.59,92.71,79.72,64.45,6,9,1,3,0,0,3,2,81.99,83.07,76.71,86.02,8,6,1,4,0,1,2,1,79.59,92.71,79.72,64.45,6,9,1,3,0,0,3,2
"865, 2021.01.11, 10",865,10,2021.01.11,180,chessjc78,Ainceer,868,904,Black,904,Black,1,16,58.79,99.26,49.02,20,4,5,0,0,1,0,6,2,63.26,84.54,40.99,60,4,4,2,0,0,1,5,1,63.26,84.54,40.99,60,4,4,2,0,0,1,6,1
"866, 2021.01.11, 10",866,10,2021.01.11,180,Ainceer,dimakovalchuk93,913,928,White,913,White,1,48.5,65.16,67.75,74.94,52.61,14,13,2,2,3,1,14,2,61.27,56.58,61.68,65.56,18,3,4,4,2,2,15,0,65.16,67.75,74.94,52.61,14,13,2,2,3,1,14,2
"867, 2021.01.11, 10",867,10,2021.01.11,180,Ainceer,Morno,921,902,White,921,White,1,24.5,71.1,85.28,56.67,69.58,10,4,2,2,0,1,6,1,69.82,69.7,95.79,43.98,11,3,0,3,1,0,6,2,71.1,85.28,56.67,69.58,10,4,2,2,0,1,6,1
"868, 2021.01.11, 10",868,10,2021.01.11,180,SLgretel8,Ainceer,906,929,Black,929,Black,1,23,67.06,87.1,56.88,55.79,9,5,1,0,1,0,7,2,60.94,64.93,63.41,53.56,7,5,0,2,1,0,8,2,60.94,64.93,63.41,53.56,7,5,0,2,1,0,7,2
"869, 2021.01.11, 10",869,10,2021.01.11,180,pp114,Ainceer,903,920,Black,920,White,0,27.5,69.27,69.1,80.93,57.82,12,3,3,1,0,2,7,2,67.79,72.35,67.91,63.09,11,2,2,3,2,0,7,2,67.79,72.35,67.91,63.09,11,2,2,3,2,0,7,2
"870, 2021.01.11, 10",870,10,2021.01.11,180,Ainceer,ib_3012,912,909,White,912,Black,0,10,71.89,86.3,81.95,42.6,3,1,1,3,0,1,1,2,73.65,89.98,57.45,68.06,2,3,2,1,0,0,2,1,71.89,86.3,81.95,42.6,3,1,1,3,0,1,1,2
"871, 2021.01.11, 10",871,10,2021.01.11,180,Ainceer,Abdulkhader1,921,951,White,921,White,1,24.5,62.78,84.57,76.09,24.96,7,4,4,1,0,1,8,2,58.73,62.25,54.63,59.31,5,4,1,5,1,0,8,1,62.78,84.57,76.09,24.96,7,4,4,1,0,1,8,2
"872, 2021.01.11, 10",872,10,2021.01.11,180,Ainceer,emceecheckmate1,913,936,White,913,Black,0,16,70.83,89.88,83.69,35.09,6,2,1,3,1,0,3,2,70.61,96.61,65.78,44.24,5,4,2,0,1,0,4,2,70.83,89.88,83.69,35.09,6,2,1,3,1,0,3,2
"873, 2021.01.11, 10",873,10,2021.01.11,180,Ainceer,leocolico,921,888,White,921,White,1,36.5,63.77,77.55,37.64,74.99,14,8,0,0,3,0,12,1,53.65,73.37,29.19,58.39,11,5,1,3,1,0,15,1,63.77,77.55,37.64,74.99,14,8,0,0,3,0,12,1
"874, 2021.01.11, 10",874,10,2021.01.11,180,zzombiee,Ainceer,951,914,Black,914,White,0,24.5,60.79,72.69,53.08,55.1,6,3,2,2,5,1,6,1,57.14,76.89,61.65,32.88,4,5,1,3,2,2,7,2,57.14,76.89,61.65,32.88,4,5,1,3,2,2,6,2
"875, 2021.01.11, 10",875,10,2021.01.11,180,Dankateam,Ainceer,865,921,Black,921,Black,1,47,68.94,72.36,61.13,73.63,16,7,2,5,4,4,9,1,67.02,63.94,71.32,65.71,14,7,5,2,8,1,10,0,67.02,63.94,71.32,65.71,14,7,5,2,8,1,9,0
"876, 2021.01.11, 10",876,10,2021.01.11,180,gambit234,Ainceer,909,929,Black,929,Black,1,26,69.95,90.12,46.46,73.67,10,5,2,1,0,1,7,1,64.57,80.32,61.83,49.95,8,4,2,3,1,1,7,2,64.57,80.32,61.83,49.95,8,4,2,3,1,1,7,2
"877, 2021.01.11, 10",877,10,2021.01.11,180,Ainceer,Marcoski21,929,948,White,929,Draw,0,51,78.29,68.57,67.16,99.14,22,10,5,4,1,0,9,1,77.87,65.63,70.88,97.09,24,10,2,3,2,2,8,0,78.29,68.57,67.16,99.14,22,10,5,4,1,0,9,1
"878, 2021.01.11, 10",878,10,2021.01.11,180,HARRY_x_POTTER,Ainceer,978,922,Black,922,White,0,28.5,80.02,90.14,81.88,66.7,12,7,2,2,2,0,4,2,72.43,90.23,59.77,65.29,8,6,3,4,1,1,5,1,72.43,90.23,59.77,65.29,8,6,3,4,1,1,4,1
"879, 2021.01.11, 10",879,10,2021.01.11,180,Ainceer,Daggu444,913,890,White,913,Black,0,31,59.39,66.68,41.71,69.04,8,5,2,3,3,0,10,1,52.47,47.44,50.48,60,12,1,1,3,0,1,13,0,59.39,66.68,41.71,69.04,8,5,2,3,3,0,10,1
"880, 2021.01.11, 10",880,10,2021.01.11,180,asifdico5,Ainceer,906,921,Black,921,Black,1,43,65.71,80.92,58.56,56.57,13,11,0,4,3,1,11,2,73.99,94.63,68.34,57.53,17,13,0,0,1,2,10,2,73.99,94.63,68.34,57.53,17,13,0,0,1,2,11,2
"881, 2021.01.11, 10",881,10,2021.01.11,180,AugustoTKD,Ainceer,907,929,Black,929,Black,1,32,58.44,85.53,48.11,40,10,5,0,4,1,2,10,2,75.24,89.51,65.73,70,14,6,3,1,1,1,6,1,75.24,89.51,65.73,70,14,6,3,1,1,1,10,1
"882, 2021.01.11, 10",882,10,2021.01.11,180,Ainceer,ktm300exc-f,921,954,White,921,Black,0,30.5,72.93,84.13,86.44,47.09,12,4,2,4,4,0,5,2,83.11,85.54,86.72,77.06,9,8,5,4,1,2,1,2,72.93,84.13,86.44,47.09,12,4,2,4,4,0,5,2
"883, 2021.01.11, 10",883,10,2021.01.11,180,ManTilope8,Ainceer,932,929,Black,929,Black,1,40,79.17,72.99,82.07,82.92,19,8,3,1,1,3,5,0,79.69,85.4,70.84,82.39,20,6,3,1,4,2,4,1,79.69,85.4,70.84,82.39,20,6,3,1,4,2,5,1
"884, 2021.01.11, 10",884,10,2021.01.11,180,Ainceer,MrCerniko,937,925,White,937,White,1,37.5,61.48,69.49,53.42,61.54,13,3,2,3,4,3,10,1,50.27,47.7,44.96,58.35,9,2,2,5,2,2,15,1,61.48,69.49,53.42,61.54,13,3,2,3,4,3,10,1
"885, 2021.01.11, 10",885,10,2021.01.11,180,grembalo,Ainceer,966,929,Black,929,White,0,48.5,61.27,82.15,47.2,53.16,8,11,4,5,3,5,13,1,64.25,78.52,53.18,61.07,11,8,4,6,5,4,10,1,64.25,78.52,53.18,61.07,11,8,4,6,5,4,13,1
"886, 2021.01.11, 10",886,10,2021.01.11,180,Ainceer,grembalo,938,957,White,938,White,1,45.5,66.93,72.9,72.39,55.09,18,4,2,4,7,1,10,2,67.13,72,63.24,66.14,13,8,2,4,8,1,9,1,66.93,72.9,72.39,55.09,18,4,2,4,7,1,10,2
"887, 2021.01.11, 10",887,10,2021.01.11,180,m3n1n,Ainceer,966,930,Black,930,White,0,27.5,82.15,72.65,80.72,94.13,16,4,0,3,2,0,3,0,61.36,69.45,64.17,50.45,9,5,1,1,2,1,8,2,61.36,69.45,64.17,50.45,9,5,1,1,2,1,3,2
"888, 2021.01.11, 10",888,10,2021.01.11,180,Ainceer,mcgatham,930,919,White,930,Draw,0,77,67.84,68.52,71.21,63.64,34,9,3,6,0,5,20,2,62.75,57.13,66.78,64.39,25,11,7,5,2,4,23,0,67.84,68.52,71.21,63.64,34,9,3,6,0,5,20,2
"889, 2021.01.12, 10",889,10,2021.01.12,180,Ainceer,TallesPonte,937,890,White,937,White,1,38.5,72.22,76.43,73.74,66.48,16,9,1,1,2,2,8,2,70.6,55.26,79.94,77.12,15,7,1,4,1,1,9,0,72.22,76.43,73.74,66.48,16,9,1,1,2,2,8,2
"890, 2021.01.12, 10",890,10,2021.01.12,180,Ainceer,Hardik_999,944,864,White,944,White,1,19.5,80.44,89.28,71.65,80.4,5,8,2,1,1,1,2,1,75.23,91.83,78.12,52.96,6,5,3,1,0,0,4,2,80.44,89.28,71.65,80.4,5,8,2,1,1,1,2,1
"891, 2021.01.12, 10",891,10,2021.01.12,180,MalekBahabety,Ainceer,989,953,Black,953,Black,1,41,55.69,71.52,56.52,37.75,12,5,1,2,5,2,14,2,62.21,75.16,52.58,58.63,12,10,1,1,1,4,12,1,62.21,75.16,52.58,58.63,12,10,1,1,1,4,14,1
"892, 2021.01.12, 10",892,10,2021.01.12,180,jengjengjeng2,Ainceer,966,945,Black,945,White,0,15.5,70.85,89.51,62.51,56.81,5,3,1,1,4,0,2,2,57.08,82.05,48.73,40.47,5,1,1,1,1,1,5,2,57.08,82.05,48.73,40.47,5,1,1,1,1,1,2,2
"893, 2021.01.12, 10",893,10,2021.01.12,180,avtsh,Ainceer,945,953,Black,953,Black,1,18,72.99,86.32,80.49,52.17,4,4,0,4,4,0,2,2,75.63,84.87,64.52,77.5,5,2,4,2,3,0,2,1,75.63,84.87,64.52,77.5,5,2,4,2,3,0,2,1
"894, 2021.01.12, 10",894,10,2021.01.12,180,Ainceer,aleshapetyx,946,1000,White,946,Black,0,21,79.69,96.16,92.97,49.93,6,8,2,2,0,0,3,2,80.07,92.29,82.72,65.22,7,6,2,1,3,0,2,2,79.69,96.16,92.97,49.93,6,8,2,2,0,0,3,2
"895, 2021.01.12, 10",895,10,2021.01.12,180,Ainceer,nico_theo1998,953,890,White,953,White,1,24.5,68.66,94.11,67.77,40.93,8,5,3,2,0,0,7,2,70.85,91.13,98.51,22.91,9,5,1,2,1,1,5,2,68.66,94.11,67.77,40.93,8,5,3,2,0,0,7,2
"896, 2021.01.12, 10",896,10,2021.01.12,180,rks26072001,Ainceer,919,944,Black,944,White,0,24,72.18,78.65,72.03,65.87,10,3,2,2,1,1,5,2,75.88,92.4,60.87,74.38,11,5,1,2,0,0,5,1,75.88,92.4,60.87,74.38,11,5,1,2,0,0,5,1
"897, 2021.01.12, 10",897,10,2021.01.12,180,Ainceer,mgorcajo,935,917,White,935,Black,0,30,70.3,83.99,69.99,56.91,11,5,1,4,0,4,5,2,81.55,92.44,66.67,85.54,12,7,3,1,3,2,2,1,70.3,83.99,69.99,56.91,11,5,1,4,0,4,5,2
"898, 2021.01.12, 10",898,10,2021.01.12,180,Kirimiy,Ainceer,965,928,Black,928,White,0,11.5,79.17,83.08,75.04,79.38,6,2,1,0,1,0,2,1,67.06,92.04,67.39,33.33,4,2,0,2,0,0,3,2,67.06,92.04,67.39,33.33,4,2,0,2,0,0,2,2
"899, 2021.01.12, 10",899,10,2021.01.12,180,Ainceer,smile_sl,921,960,White,921,Black,0,19,79.92,94.29,94.83,48.24,8,6,0,2,0,0,3,2,63.95,88.65,37.65,61.44,6,3,0,2,1,3,4,1,79.92,94.29,94.83,48.24,8,6,0,2,0,0,3,2
"900, 2021.01.12, 10",900,10,2021.01.12,180,RANK1XD,Ainceer,964,914,Black,914,White,0,25.5,80.86,81.38,72.57,89.61,12,6,0,3,1,1,3,1,69.72,89.7,64.59,52.38,6,8,1,2,1,1,6,2,69.72,89.7,64.59,52.38,6,8,1,2,1,1,3,2
"901, 2021.01.12, 10",901,10,2021.01.12,180,Crown_23,Ainceer,1243,914,Black,914,White,0,26.5,81.63,75.69,84.85,84.34,14,6,1,0,2,0,4,0,65.87,83.29,58.65,54.4,8,5,1,1,4,1,6,2,65.87,83.29,58.65,54.4,8,5,1,1,4,1,4,2
"902, 2021.01.12, 10",902,10,2021.01.12,180,Ainceer,Crown_23,914,1243,White,914,White,1,19.5,77.26,81.52,68.16,82.91,9,5,0,1,1,0,4,1,69.59,74,85.56,48.46,7,3,1,2,0,3,3,2,77.26,81.52,68.16,82.91,9,5,0,1,1,0,4,1
"903, 2021.01.12, 10",903,10,2021.01.12,180,Crown_23,Ainceer,1243,914,Black,914,White,0,27.5,72.94,70.03,74.2,74.9,10,4,3,4,1,1,5,0,54.47,71.87,60.71,30.84,4,4,3,2,4,2,8,2,54.47,71.87,60.71,30.84,4,4,3,2,4,2,5,2
"904, 2021.01.12, 10",904,10,2021.01.12,180,Ainceer,Crown_23,914,1243,White,914,White,1,24.5,74.4,91.92,80.27,48.82,6,6,3,4,1,2,3,2,75.67,94.4,77.46,55.15,6,8,2,3,1,0,4,2,74.4,91.92,80.27,48.82,6,6,3,4,1,2,3,2
"905, 2021.01.12, 10",905,10,2021.01.12,180,Crown_23,Ainceer,1243,914,Black,914,White,0,21.5,85.19,93.18,91.16,70.09,6,8,2,1,5,0,0,2,68.51,86.07,57.04,62.43,8,2,1,2,2,2,4,1,68.51,86.07,57.04,62.43,8,2,1,2,2,2,0,1
"906, 2021.01.12, 10",906,10,2021.01.12,300,Ainceer,Crown_23,914,1243,White,914,Draw,0,2.5,68.93,100,100,6.78,2,0,0,0,0,0,1,2,51.76,3.52,100,0,1,0,0,0,0,0,1,2,68.93,100,100,6.78,2,0,0,0,0,0,1,2
"907, 2021.01.12, 10",907,10,2021.01.12,300,Crown_23,Ainceer,1243,914,Black,914,Draw,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
"908, 2021.01.12, 10",908,10,2021.01.12,300,Ainceer,Crown_23,914,1243,White,914,Black,0,28,68.42,76.26,71.52,56.61,8,5,3,2,3,2,5,2,72.63,64.88,81.75,72.14,12,3,2,1,4,3,3,0,68.42,76.26,71.52,56.61,8,5,3,2,3,2,5,2
"909, 2021.01.12, 10",909,10,2021.01.12,300,Crown_23,Ainceer,1243,914,Black,914,White,0,31.5,79.05,84.31,67.59,85.85,15,4,3,2,3,2,3,1,80.23,89.07,70.3,80.43,13,8,2,2,1,0,5,1,80.23,89.07,70.3,80.43,13,8,2,2,1,0,3,1
"910, 2021.01.12, 10",910,10,2021.01.12,300,Ainceer,Crown_23,914,1243,White,914,Black,0,36,82.36,96,70.96,80.13,14,12,1,3,2,0,4,1,70.28,53.58,67.55,89.7,9,9,4,2,4,1,7,0,82.36,96,70.96,80.13,14,12,1,3,2,0,4,1
"911, 2021.01.12, 10",911,10,2021.01.12,300,Crown_23,Ainceer,1243,914,Black,914,Draw,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
"912, 2021.01.12, 10",912,10,2021.01.12,300,Ainceer,Crown_23,914,1243,White,914,Draw,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
"913, 2021.01.12, 10",913,10,2021.01.12,300,Crown_23,Ainceer,1243,914,Black,914,Black,1,58,70.76,69.85,79.44,63.04,22,11,3,3,6,1,12,2,74.89,69.58,81.19,74.18,25,13,1,3,3,2,11,0,74.89,69.58,81.19,74.18,25,13,1,3,3,2,12,0
"914, 2021.01.12, 10",914,10,2021.01.12,300,Ainceer,Crown_23,914,1243,White,914,Black,0,50,79.77,90.98,76.55,71.28,20,13,6,2,1,0,8,2,79.08,81.78,70.25,85.58,23,10,2,5,2,0,8,1,79.77,90.98,76.55,71.28,20,13,6,2,1,0,8,2
"915, 2021.01.12, 10",915,10,2021.01.12,180,Ainceer,lp30stm,907,947,White,907,Black,0,17,58.44,98.82,49.08,21.22,4,5,0,1,0,1,6,2,68.16,75.56,56.93,72.78,4,5,1,2,0,1,4,1,58.44,98.82,49.08,21.22,4,5,0,1,0,1,6,2
"916, 2021.01.12, 10",916,10,2021.01.12,180,redpassion76,Ainceer,916,915,Black,915,Black,1,49,69.75,73.21,66.78,69.03,16,9,4,6,2,1,11,1,73.42,69.86,92.96,57.66,18,14,1,2,4,1,9,2,73.42,69.86,92.96,57.66,18,14,1,2,4,1,11,2
"917, 2021.01.12, 10",917,10,2021.01.12,300,Ainceer,michalbawolski,907,941,White,907,Black,0,7.5,72.28,94.45,64.96,50,2,3,1,0,0,0,2,2,94.06,88.23,96.86,100,3,3,0,1,0,0,0,0,72.28,94.45,64.96,50,2,3,1,0,0,0,2,2
"918, 2021.01.12, 10",918,10,2021.01.12,300,DeMusta,Ainceer,940,916,Black,916,Black,1,15,47.25,65.11,51.61,25.01,2,4,0,0,1,2,6,2,69.56,77.5,60.81,70.38,5,4,1,0,1,0,4,1,69.56,77.5,60.81,70.38,5,4,1,0,1,0,6,1
"919, 2021.01.12, 10",919,10,2021.01.12,300,Ainceer,riverwolf108,909,947,White,909,Black,0,25,64.2,93.34,44.56,51.07,8,4,2,2,0,1,8,1,77.1,86.37,56.58,87.18,10,6,1,3,1,0,4,1,64.2,93.34,44.56,51.07,8,4,2,2,0,1,8,1
"920, 2021.01.12, 10",920,10,2021.01.12,300,darius1630,Ainceer,945,918,Black,918,Black,1,70,73.64,68.32,76.52,76.3,30,11,3,10,2,0,14,0,78.89,79.14,69.35,88.16,40,9,3,1,3,5,9,1,78.89,79.14,69.35,88.16,40,9,3,1,3,5,14,1
"921, 2021.01.12, 10",921,10,2021.01.12,300,Ainceer,darius1630,927,936,White,927,White,1,26.5,70.96,78,43.59,91.29,9,3,3,3,4,0,5,1,69.52,73.57,71.88,62.31,8,4,4,3,0,1,6,2,70.96,78,43.59,91.29,9,3,3,3,4,0,5,1
"922, 2021.01.12, 10",922,10,2021.01.12,300,darius1630,Ainceer,944,919,Black,919,White,0,11.5,76.29,99.36,67.61,61.92,3,5,0,1,0,1,2,2,73.66,99.73,70.5,43.1,3,4,1,0,0,1,2,2,73.66,99.73,70.5,43.1,3,4,1,0,0,1,2,2
"923, 2021.01.12, 10",923,10,2021.01.12,300,Ainceer,darius1630,928,935,White,928,White,1,25.5,63.26,81.2,57.12,50,8,5,1,2,1,2,7,2,63.06,70.22,55.54,62.52,8,5,0,4,0,0,8,1,63.26,81.2,57.12,50,8,5,1,2,1,2,7,2
"924, 2021.01.12, 10",924,10,2021.01.12,300,darius1630,Ainceer,927,936,Black,936,Black,1,40,60.62,49.18,70.12,63.45,10,9,3,1,2,2,13,0,69.68,63.01,73.71,72.83,11,11,2,4,1,3,8,0,69.68,63.01,73.71,72.83,11,11,2,4,1,3,13,0
"925, 2021.01.12, 10",925,10,2021.01.12,300,Ainceer,FisherR15,929,968,White,929,Black,0,44,51.87,74.15,24.69,57.11,11,7,3,0,3,0,20,1,63.11,75.27,39.94,74.9,14,8,3,3,1,1,14,1,51.87,74.15,24.69,57.11,11,7,3,0,3,0,20,1
"926, 2021.01.12, 10",926,10,2021.01.12,300,Ainceer,marcovnd,937,935,White,937,White,1,42.5,64.69,68.38,60.9,64.5,14,12,0,2,0,1,14,1,62.95,68.96,68.5,51.4,18,6,1,0,0,4,13,2,64.69,68.38,60.9,64.5,14,12,0,2,0,1,14,1
"927, 2021.01.12, 10",927,10,2021.01.12,300,Hinrlch,Ainceer,923,945,Black,945,Black,1,35,62.24,73.22,49.6,64.05,8,9,1,2,3,2,10,1,78.32,80.25,75.47,79.33,16,7,2,2,1,1,6,1,78.32,80.25,75.47,79.33,16,7,2,2,1,1,10,1
"928, 2021.01.13, 10",928,10,2021.01.13,180,Ainceer,Kvennjmo,938,996,White,938,Black,0,22,63.69,68.9,73.2,48.22,9,1,2,1,1,2,6,2,73.83,62.19,63.81,97.15,10,4,1,1,1,0,5,0,63.69,68.9,73.2,48.22,9,1,2,1,1,2,6,2
"929, 2021.01.13, 10",929,10,2021.01.13,180,dontmindmyblunder,Ainceer,961,930,Black,930,White,0,12.5,83.75,81.82,97.97,71.93,5,5,1,0,0,0,2,2,84.13,99.73,85.69,66.98,4,4,1,1,1,0,1,2,84.13,99.73,85.69,66.98,4,4,1,1,1,0,2,2
"930, 2021.01.13, 10",930,10,2021.01.13,180,orangetart,Ainceer,889,921,Black,921,White,0,63.5,76.48,81.77,72.87,74.53,25,16,5,2,4,2,10,1,79.35,86.88,78.14,73.04,26,16,5,5,1,0,10,2,79.35,86.88,78.14,73.04,26,16,5,5,1,0,10,2
"931, 2021.01.13, 10",931,10,2021.01.13,180,Ainceer,BhavikBoricha007,929,919,White,929,White,1,14.5,84.49,99.42,96.07,57.98,7,5,1,0,0,0,2,2,71.57,96.53,83.82,25.07,4,5,1,0,0,1,3,2,84.49,99.42,96.07,57.98,7,5,1,0,0,0,2,2
"932, 2021.01.13, 10",932,10,2021.01.13,180,Ainceer,Joshua2906,937,902,White,937,White,1,36.5,62.87,71.96,68.29,47.6,13,5,4,1,2,0,12,2,53.18,81.52,38.6,39.43,13,4,1,0,0,2,16,1,62.87,71.96,68.29,47.6,13,5,4,1,2,0,12,2
"933, 2021.01.13, 10",933,10,2021.01.13,180+2,Doctor-Janek,Ainceer,922,928,Black,928,White,0,28.5,57.92,69.19,33.28,72.77,10,3,2,1,2,1,10,1,59.95,64.91,59.3,55.09,12,2,1,0,2,3,8,2,59.95,64.91,59.3,55.09,12,2,1,0,2,3,10,2
"934, 2021.01.13, 10",934,10,2021.01.13,180,Ainceer,juanjota26,919,911,White,919,Black,0,11,78.39,96.03,69.53,66.67,4,2,1,1,2,0,1,2,84.02,84.28,71.78,100,3,4,0,2,2,0,0,1,78.39,96.03,69.53,66.67,4,2,1,1,2,0,1,2
"935, 2021.01.13, 10",935,10,2021.01.13,180,gazza11555,Ainceer,952,928,Black,928,Black,1,29,51.68,30.7,74.18,49.97,8,6,0,0,2,0,13,0,54.99,39.9,39.58,88.87,10,5,0,0,1,0,13,1,54.99,39.9,39.58,88.87,10,5,0,0,1,0,13,1
"936, 2021.01.13, 10",936,10,2021.01.13,180,P0L4R15,Ainceer,953,929,Black,929,Draw,0,60,89.11,92.46,84.07,90.79,27,20,3,5,1,0,4,1,90.43,88.47,89.4,93.42,29,18,6,2,1,1,3,0,90.43,88.47,89.4,93.42,29,18,6,2,1,1,4,0
"937, 2021.01.13, 10",937,10,2021.01.13,180,Ainceer,MrBrownJersey,937,906,White,937,White,1,35.5,68.61,84.25,77.64,43.94,13,7,3,1,3,2,7,2,72.97,91.3,75.13,50.6,16,6,0,3,2,2,6,2,68.61,84.25,77.64,43.94,13,7,3,1,3,2,7,2
"938, 2021.01.13, 10",938,10,2021.01.13,180,Ainceer,yashk98,945,919,White,945,White,1,55.5,73.79,76.26,67.49,77.83,25,9,3,4,2,1,12,1,67.83,67.09,70.85,65.6,21,11,1,4,2,1,15,2,73.79,76.26,67.49,77.83,25,9,3,4,2,1,12,1
"939, 2021.01.13, 10",939,10,2021.01.13,180,Ainceer,alxwntr,936,918,White,936,Black,0,63,54.8,65.51,49.92,48.96,17,7,5,5,2,4,23,2,41.47,56.41,38.1,29.9,10,10,1,2,3,6,31,2,54.8,65.51,49.92,48.96,17,7,5,5,2,4,23,2
"940, 2021.01.13, 10",940,10,2021.01.13,180,bananaman012,Ainceer,957,928,Black,928,White,0,31,76.29,91.49,70.68,65.2,6,11,3,5,0,1,5,2,62.73,82.02,80.57,23.68,13,2,1,2,2,1,10,2,62.73,82.02,80.57,23.68,13,2,1,2,2,1,5,2
"941, 2021.01.13, 10",941,10,2021.01.13,180,Feras20201,Ainceer,915,919,Black,919,White,0,6.5,86.76,95.99,59.66,100,4,1,1,0,0,0,1,1,68.37,98.26,56.86,50,2,1,0,1,1,0,1,2,68.37,98.26,56.86,50,2,1,0,1,1,0,1,2
"942, 2021.01.13, 10",942,10,2021.01.13,180,Brc12,Ainceer,960,912,Black,912,White,0,11.5,75.55,87.32,98.43,40.9,4,3,0,1,3,0,1,2,64.62,97.01,54.75,34.59,2,4,0,1,0,0,4,2,64.62,97.01,54.75,34.59,2,4,0,1,0,0,1,2
"943, 2021.01.13, 10",943,10,2021.01.13,180,Ainceer,Tegavia,904,916,White,904,Black,0,40,57.39,77.95,36.55,56.08,10,8,1,4,0,4,13,1,61.22,69.23,51.63,62.19,10,9,1,4,2,2,12,1,57.39,77.95,36.55,56.08,10,8,1,4,0,4,13,1
