2022-02-17 09:03:30,4272,8,2022.02.17,180,mido3000_00,Crown_23,1244,1323,Crown_23,1323,Black,True,25.0,77.33,84.22,75.4,71.5,15,3,3,0,1,1,4,2
2022-02-17 09:07:24,4273,8,2022.02.17,180,LtColPSC,Crown_23,1351,1332,Crown_23,1332,Black,True,53.0,73.46,85.3,57.05,78.3,21,5,5,0,3,1,11,1
2022-02-17 09:14:02,4274,8,2022.02.17,180,Crown_23,sfnjhdku,1327,1485,Crown_23,1327,Black,False,58.0,73.51,88.58,70.4,60.76,26,3,3,5,3,4,9,2
2022-02-17 09:20:15,4275,8,2022.02.17,180,FrateLePierre,Crown_23,1293,1318,Crown_23,1318,White,False,7.5,82.85,95.44,98.08,48.73,2,1,1,0,0,0,1,2
2022-02-17 09:20:59,4276,8,2022.02.17,180,doel2702,Crown_23,1186,1323,Crown_23,1323,Black,True,60.0,81.14,80.89,77.07,85.44,19,6,6,5,6,0,6,1
2022-02-17 09:26:42,4277,8,2022.02.17,180,Crown_23,hoopsandtunes,1315,1334,Crown_23,1315,Black,False,31.0,65.5,69.87,61.58,64.62,14,4,4,0,0,1,10,1
2022-02-17 09:31:11,4278,8,2022.02.17,180,Crown_23,kushalsethichess,1308,1355,Crown_23,1308,Black,False,25.0,65.3,81.46,59.82,52.6,5,4,4,0,1,1,7,2
2022-02-17 09:34:59,4279,8,2022.02.17,180,Crown_23,ArteriaFrida,1315,1239,Crown_23,1315,White,True,54.5,72.73,77.82,71.22,68.85,20,2,2,6,4,0,11,2
2022-02-20 10:53:12,4280,8,2022.02.20,180,Sharkboy010,Crown_23,1387,1308,Crown_23,1308,White,False,27.5,51.17,71.14,38.76,43.61,9,2,2,0,2,0,12,1
2022-02-20 13:01:06,4281,8,2022.02.20,60,Crown_23,AlexeyKlimko,1326,1411,Crown_23,1326,Black,False,22.0,70.54,86.05,52.25,71.1,9,1,1,1,1,0,6,1
2022-02-20 13:02:14,4282,8,2022.02.20,60,Crown_23,mnafshin,1335,1348,Crown_23,1335,White,True,51.5,81.29,81.46,89.93,72.48,24,2,2,1,2,1,7,2
2022-02-20 13:30:33,4283,8,2022.02.20,180,Crown_23,RafSar2020,1300,1316,Crown_23,1300,Black,False,71.0,57.63,74.24,66.84,30.69,24,4,4,1,3,2,27,2
2022-02-20 13:36:55,4284,8,2022.02.20,180,weltonsr93,Crown_23,1249,1307,Crown_23,1307,Black,True,67.0,67.47,70.32,68.94,63.03,24,2,2,3,2,6,16,2
2022-02-20 13:43:31,4285,8,2022.02.20,180,Publicsafety,Crown_23,1338,1300,Crown_23,1300,White,False,45.0,72.34,91.93,76.19,48.89,21,1,1,2,2,1,10,2
2022-02-21 08:30:48,4286,8,2022.02.21,60,EJO99,Crown_23,1337,1343,Crown_23,1343,Black,True,21.0,51.67,83.46,37.21,34.34,7,2,2,1,3,0,8,2
2022-02-21 10:24:59,4287,8,2022.02.21,180+2,Crown_23,unfearson,1305,1151,Crown_23,1305,White,True,37.5,79.39,78.79,62.85,97.96,18,1,1,2,3,0,6,1
2022-02-21 11:11:47,4288,8,2022.02.21,60,beefburger911,Crown_23,1373,1336,Crown_23,1336,White,False,41.5,71.56,71.38,68.01,75.58,15,7,7,2,2,2,8,1
2022-02-21 11:18:29,4289,8,2022.02.21,60,schistef,Crown_23,1304,1327,Crown_23,1327,White,False,34.5,70.74,75.86,62.9,72.98,14,4,4,2,2,0,8,1
2022-02-21 15:09:35,4290,8,2022.02.21,60,Crown_23,Edris2020,1318,1287,Crown_23,1318,Black,False,13.0,63.83,82.3,54.83,49.73,3,1,1,0,0,1,4,2
2022-02-21 15:10:30,4291,8,2022.02.21,60,Thaumas19,Crown_23,1326,1310,Crown_23,1310,White,False,15.0,64.31,79.85,73.1,39.99,4,0,0,1,0,0,5,2
2022-02-21 15:11:52,4292,8,2022.02.21,60,Crown_23,Josueps123,1301,1274,Crown_23,1301,Black,False,31.5,70.88,89.23,69.86,51.8,14,2,2,3,1,3,6,2
2022-02-21 15:13:54,4293,8,2022.02.21,60,Crown_23,Timiusiaq,1311,1373,Crown_23,1311,White,True,48.5,66.64,71.09,53.29,75.25,25,2,2,1,1,4,13,1
2022-02-22 09:52:34,4294,8,2022.02.22,180,Crown_23,The_3arab,1311,1223,Crown_23,1311,White,True,47.5,74.4,85.58,74.73,62.88,19,6,6,3,1,0,10,2
2022-02-22 11:17:19,4295,8,2022.02.22,180,Crown_23,Alexh261,1301,1232,Crown_23,1301,Black,False,37.0,73.84,81.55,55.26,84.06,13,2,2,4,3,0,7,1
