Game number,Game type,White player,Black player,White rating,Black rating,My colour,My rating,Winner,Did i win?,number of moves,White accuracy,White opening accuracy,White middle accuracy,White end accuracy,No. best white,No. great white,No. good white,No. ok white,No. inaccuracy white,No. mistake white,No. blunder white,Improvement white,Black accuracy,Black opening accuracy,Black middle accuracy,Black end accuracy,No. best black,No. great black,No. good black,No. ok black,No. inaccuracy black,No. mistake black,No. blunder black,Improvement black,User accuracy,User opening accuracy,User middle accuracy,User end accuracy,No. best user,No. great user,No. good user,No. ok user,No. inaccuracy user,No. mistake user,No. blunder user,Improvement user
218,180,Ainceer,mmadking01,744,787,White,744,Black,False,10.0,82.23,64.13,99.76,88.83,1,6,0,0,2,0,1,0,68.55,64.82,65.87,76.21,3,1,1,0,3,0,2,0,82.23,64.13,99.76,88.83,1,6,0,0,2,0,1,0
219,180,Maramzina,Ainceer,746,727,Black,727,White,False,13.0,80.4,75.45,90.74,76.26,4,5,0,2,0,0,2,0,76.73,97.8,53.62,73.51,4,5,0,0,2,0,2,1,76.73,97.8,53.62,73.51,4,5,0,0,2,0,2,1
220,180,Ainceer,DeveshChauhan07,742,697,White,742,White,True,22.5,69.05,87.38,67.69,49.65,7,6,1,1,1,1,6,2,55.21,80.08,39.14,42.87,7,3,0,1,1,1,9,1,69.05,87.38,67.69,49.65,7,6,1,1,1,1,6,2
221,180,arealClarkKent,Ainceer,732,757,Black,757,Black,True,24.0,37.64,64.28,11.55,37.08,3,0,2,1,4,1,13,1,55.69,73.86,51.61,41.6,8,3,0,1,2,0,10,2,55.69,73.86,51.61,41.6,8,3,0,1,2,0,13,2
222,180,teazle,Ainceer,816,774,Black,774,Black,True,48.0,61.63,67.33,43.55,74.02,18,4,3,2,5,0,16,1,76.01,81.51,67.93,78.6,20,7,5,2,4,3,7,1,76.01,81.51,67.93,78.6,20,7,5,2,4,3,16,1
223,180,shreyaskorad,Ainceer,868,763,Black,763,White,False,8.5,79.61,93.87,82.44,62.51,3,2,1,0,1,1,1,2,83.22,99.7,88.9,50.0,3,3,0,1,0,0,1,2,83.22,99.7,88.9,50.0,3,3,0,1,0,0,1,2
224,180,Ainceer,Chesscricket4,750,778,White,750,Black,False,6.0,72.51,99.1,60.38,58.04,2,2,0,0,0,0,2,2,53.94,56.16,5.65,100.0,2,1,0,0,0,0,3,1,72.51,99.1,60.38,58.04,2,2,0,0,0,0,2,2
225,180,Ainceer,sureshbalakrishna,736,736,White,736,Black,False,32.0,76.95,79.81,72.37,78.84,12,9,1,1,2,0,7,1,71.42,72.83,69.83,71.62,14,4,2,1,3,2,6,1,76.95,79.81,72.37,78.84,12,9,1,1,2,0,7,1
226,180,ShishirTamang,Ainceer,701,748,Black,748,Black,True,29.0,60.85,52.56,49.55,82.61,9,4,2,0,4,1,9,1,63.99,69.0,57.33,65.83,12,6,0,0,0,1,10,1,63.99,69.0,57.33,65.83,12,6,0,0,0,1,9,1
227,180,scrofanu,Ainceer,766,761,Black,761,Black,True,32.0,65.57,69.3,62.94,64.34,13,4,2,0,3,0,10,1,73.12,77.09,55.47,88.16,16,5,1,0,2,0,8,1,73.12,77.09,55.47,88.16,16,5,1,0,2,0,10,1
