Game number,Game type,White player,Black player,White rating,Black rating,My colour,My rating,Winner,Did i win?,number of moves,White accuracy,White opening accuracy,White middle accuracy,White end accuracy,No. best white,No. great white,No. good white,No. ok white,No. inaccuracy white,No. mistake white,No. blunder white,Improvement white,Black accuracy,Black opening accuracy,Black middle accuracy,Black end accuracy,No. best black,No. great black,No. good black,No. ok black,No. inaccuracy black,No. mistake black,No. blunder black,Improvement black,User accuracy,User opening accuracy,User middle accuracy,User end accuracy,No. best user,No. great user,No. good user,No. ok user,No. inaccuracy user,No. mistake user,No. blunder user,Improvement user
1972,180,NishNash369,Ainceer,1103,1109,Black,1109,White,False,17.0,75.28,98.86,61.79,63.18,4,6,1,1,1,1,3,1,57.72,94.05,53.61,19.04,3,3,1,2,2,0,6,2,57.72,94.05,53.61,19.04,3,3,1,2,2,0,3,2
1973,60,Ainceer,betterthanCarlsen12,1113,1125,White,1113,White,True,32.5,66.03,88.0,34.47,75.61,8,8,4,1,1,2,9,1,56.17,86.8,34.95,45.81,10,5,1,1,1,2,12,1,66.03,88.0,34.47,75.61,8,8,4,1,1,2,9,1
1974,60,Ainceer,Eugen2301,1090,1103,White,1090,Black,False,47.0,54.75,62.28,47.15,54.82,11,9,1,1,5,3,17,1,57.82,71.16,46.87,55.28,16,4,2,1,5,2,17,1,54.75,62.28,47.15,54.82,11,9,1,1,5,3,17,1
1975,60,BurritoMx,Ainceer,1077,1068,Black,1068,White,False,13.5,97.06,98.17,94.18,99.26,8,5,1,0,0,0,0,1,67.2,99.76,69.21,24.5,4,3,1,1,0,0,4,2,67.2,99.76,69.21,24.5,4,3,1,1,0,0,0,2
1976,60,Ainceer,isaacdepool,1088,1066,White,1088,White,True,51.5,74.87,75.72,78.89,69.96,19,15,1,0,5,2,10,2,79.07,88.93,66.59,81.69,15,17,3,2,4,4,6,1,74.87,75.72,78.89,69.96,19,15,1,0,5,2,10,2
1977,60,Ainceer,SAMURAIVPIJAME,1106,1071,White,1106,White,True,32.5,69.53,79.84,64.66,64.09,7,10,2,4,0,3,7,2,67.6,74.97,63.94,63.52,7,8,2,0,6,2,7,2,69.53,79.84,64.66,64.09,7,10,2,4,0,3,7,2
1978,60,beaujob89,Ainceer,1069,1122,Black,1122,Black,True,45.0,68.85,64.56,76.61,65.37,13,14,0,1,4,2,11,0,66.03,72.46,62.09,63.53,16,8,0,2,6,1,12,1,66.03,72.46,62.09,63.53,16,8,0,2,6,1,11,1
1979,60,malbarr,Ainceer,1092,1138,Black,1138,Black,True,47.0,62.44,54.75,68.44,64.25,8,6,9,4,6,1,13,0,72.04,57.9,80.91,77.68,23,5,2,2,3,1,11,0,72.04,57.9,80.91,77.68,23,5,2,2,3,1,13,0
1980,60,Ainceer,AbsurdShadow,1123,1178,White,1123,Black,False,61.0,62.44,60.96,56.75,69.69,19,10,2,4,3,3,20,1,75.61,72.72,79.93,74.32,23,14,5,3,2,3,11,0,62.44,60.96,56.75,69.69,19,10,2,4,3,3,20,1
1981,60,hencker2612,Ainceer,1158,1109,Black,1109,White,False,40.5,70.21,74.53,64.0,72.23,12,10,2,4,2,1,10,1,66.37,74.5,61.92,62.07,13,8,0,4,2,2,11,1,66.37,74.5,61.92,62.07,13,8,0,4,2,2,10,1
1982,60,Ainceer,sinaf38,1126,1147,White,1126,White,True,35.5,58.64,64.27,58.13,53.51,8,8,2,1,2,3,12,2,60.24,73.0,62.56,43.8,7,8,3,2,1,2,12,2,58.64,64.27,58.13,53.51,8,8,2,1,2,3,12,2
1983,60,AntMan148,Ainceer,1159,1142,Black,1142,Black,True,16.0,50.93,82.71,41.68,22.05,3,3,1,0,1,1,7,2,75.01,92.64,68.78,60.1,8,2,1,0,1,1,3,2,75.01,92.64,68.78,60.1,8,2,1,0,1,1,7,2
