[INFO extract] | 2000-01-01 00:00:00
[INFO extract] | 2020-11-01 00:00:00
[INFO extract] | 2020-12-01 00:00:00
[INFO extract] | 2021-01-01 00:00:00
[INFO extract] | 2021-02-01 00:00:00
[INFO extract] | 2021-03-01 00:00:00
[INFO extract] | 2021-04-01 00:00:00
[INFO extract] | 2021-05-01 00:00:00
[INFO extract] | 2021-06-01 00:00:00
[INFO extract] | 2021-07-01 00:00:00
[INFO extract] | 2021-08-01 00:00:00
[INFO extract] | 2021-09-01 00:00:00
[INFO extract] | 2021-10-01 00:00:00
[INFO extract] | 2021-11-01 00:00:00
[INFO extract] | 2021-12-01 00:00:00
[INFO extract] | 2022-01-01 00:00:00
[INFO extract] | 2022-02-01 00:00:00
[INFO extract] | 2022-03-01 00:00:00
[INFO extract] | 2022-04-01 00:00:00
[INFO extract] | 2022-05-01 00:00:00
[INFO user_analysis] | 2020-11-19 20:02:46 |83
[INFO user_analysis] | 2020-11-19 20:07:20 |84
[INFO user_analysis] | 2020-11-19 20:13:05 |85
[INFO user_analysis] | 2020-11-19 22:19:01 |86
[INFO user_analysis] | 2020-11-19 22:22:43 |87
[INFO user_analysis] | 2020-11-19 22:28:23 |88
[INFO user_analysis] | 2020-11-19 22:29:45 |89
[INFO user_analysis] | 2020-11-19 22:34:20 |90
[INFO user_analysis] | 2020-11-20 17:06:26 |91
[INFO user_analysis] | 2020-11-20 17:19:45 |92
[INFO user_analysis] | 2020-11-20 17:29:07 |93
[INFO user_analysis] | 2020-11-20 18:32:16 |94
[INFO user_analysis] | 2020-11-20 18:51:20 |95
[INFO user_analysis] | 2020-11-20 20:06:44 |96
[INFO user_analysis] | 2020-11-20 20:22:19 |97
[INFO user_analysis] | 2020-11-20 20:25:00 |98
[INFO user_analysis] | 2020-11-20 20:33:40 |99
[INFO user_analysis] | 2020-11-20 21:59:43 |100
[INFO user_analysis] | 2020-11-20 23:02:26 |101
[INFO user_analysis] | 2020-11-20 23:04:26 |102
[INFO user_analysis] | 2020-11-20 23:08:25 |103
[INFO user_analysis] | 2020-11-20 23:14:44 |104
[INFO user_analysis] | 2020-11-21 10:52:11 |105
[INFO user_analysis] | 2020-11-21 11:04:15 |106
[INFO user_analysis] | 2020-11-21 11:09:35 |107
[INFO user_analysis] | 2020-11-21 11:23:22 |108
[INFO user_analysis] | 2020-11-21 15:36:31 |109
[INFO user_analysis] | 2020-11-21 15:40:52 |110
[INFO user_analysis] | 2020-11-21 15:58:55 |111
[INFO user_analysis] | 2020-11-21 17:16:05 |112
[INFO user_analysis] | 2020-11-21 17:26:23 |113
[INFO user_analysis] | 2020-11-21 17:34:13 |114
[INFO user_analysis] | 2020-11-21 22:11:11 |115
[INFO user_analysis] | 2020-11-21 22:20:52 |116
[INFO user_analysis] | 2020-11-21 22:26:10 |117
[INFO user_analysis] | 2020-11-22 12:36:52 |118
[INFO user_analysis] | 2020-11-22 12:49:02 |119
[INFO user_analysis] | 2020-11-22 12:54:50 |120
[INFO user_analysis] | 2020-11-22 13:04:32 |121
[INFO user_analysis] | 2020-11-22 13:09:45 |122
[INFO user_analysis] | 2020-11-22 13:12:23 |123
[INFO user_analysis] | 2020-11-22 13:14:52 |124
[INFO user_analysis] | 2020-11-22 20:45:29 |125
[INFO user_analysis] | 2020-11-22 20:50:29 |126
[INFO user_analysis] | 2020-11-22 21:06:04 |127
